epoch,training_loss,validation_loss,b
0,31.921914930885606,31.905229518565772,0.001
1,31.81482678232702,31.990101042491393,0.001
2,31.399961884662666,31.76700223075503,0.001
3,31.575281178059942,31.84072183087015,0.001
4,31.79619137743395,30.730262949284235,0.001
5,31.781234318233043,30.675412091302984,0.001
6,31.542013892989967,30.85231078685794,0.001
7,30.558904314682685,31.153640092037943,0.001
8,31.885028718105882,29.84305442479516,0.001
9,28.79839112884542,29.847592551661357,0.001
10,30.67023354028248,27.425375676907382,0.001
11,30.975022101206932,26.943304414660755,0.001
12,31.044758749403226,27.268750403123157,0.001
13,30.268094187993672,27.3834968629267,0.001
14,28.45165609578574,26.877905015588595,0.001
15,31.151334737943458,26.949982355862335,0.001
16,28.586126065350918,27.01211163756645,0.001
17,29.44845385210827,27.498225071648577,0.001
18,30.21817178988688,27.401385326610317,0.001
19,30.21468277542797,27.285622577310814,0.001
20,29.83202044178488,26.658639342017494,0.001
21,28.275681821803943,26.87492848722095,0.001
22,27.947865849846146,25.751457281447127,0.001
23,29.345447244499688,25.757540641360972,0.001
24,29.597669445299243,24.980609564907734,0.001
25,27.05786622637246,24.96839965608152,0.001
26,27.37292367371357,25.232909358387047,0.001
27,28.906624487928866,25.299645972065488,0.001
28,29.240249798360377,25.297735898349124,0.001
29,28.66611655431146,25.19910896333688,0.001
30,27.6695068863391,24.423081597462012,0.001
31,27.634830075343686,24.048744823691717,0.001
32,28.960515989333626,24.505864539094492,0.001
33,27.774166540804796,24.140568519864512,0.001
34,26.40433392083789,24.5863475325752,0.001
35,27.170214573741664,24.673313241460203,0.001
36,27.664108890911642,24.3129775427969,0.001
37,27.86122198053741,24.107692625184466,0.001
38,27.476330947072583,24.286942696021452,0.001
39,25.6474704745368,23.936024929330546,0.001
40,27.10245971454507,24.1791494610457,0.001
41,27.92069902347179,23.955167890270467,0.001
42,27.08892461130514,24.269203745500292,0.001
43,25.993101942583067,24.16474976765948,0.001
44,26.76410600241207,24.14570709073385,0.001
45,27.38533634977131,23.85704986925788,0.001
46,26.5328051063635,24.124288406529825,0.001
47,25.25213816229357,23.790151409675268,0.001
48,25.18828372111501,24.12652196619935,0.001
49,26.96726043725273,23.865213911593134,0.001
50,26.558396564724653,24.15251473556325,0.001
51,25.89788052962143,23.911798038247763,0.001
52,24.977762763091047,24.118793707393042,0.001
53,26.894514426480203,23.825406540264403,0.001
54,26.565745586690202,24.087983498310482,0.001
55,26.09678530601204,23.774125315810103,0.001
56,25.323104387311474,24.07873255626666,0.001
57,26.511625805437923,23.77549436311554,0.001
58,25.29788929128977,24.082761690745567,0.001
59,25.13032263503885,23.790184120047666,0.001
60,25.28607864231203,24.091274452289312,0.001
61,25.009880357660858,23.79625388745692,0.001
62,25.267714034458088,24.08587779664976,0.001
63,25.230860825641674,23.7753376718388,0.001
64,24.686979926689204,24.06572176757911,0.001
65,25.117192254719424,23.745139095741308,0.001
66,25.572976997824146,24.04872619349909,0.001
67,24.62625611867914,23.727195637972045,0.001
68,25.252596577112726,24.04335538210889,0.001
69,25.030962227381345,23.718787656356483,0.001
70,25.22255161682559,24.047521563652523,0.001
71,23.834816129130346,23.71905524806802,0.001
72,24.728938811336672,24.053144407648972,0.001
73,24.288692130585936,23.723679615137183,0.001
74,24.915484163392655,24.053595401938487,0.001
75,24.212865755486398,23.721286485372243,0.001
76,23.766327545085556,24.047151461514787,0.001
77,24.44128548297837,23.707665427134103,0.001
78,24.832394348845398,24.035683609253482,0.001
79,24.08765208537515,23.68880750858747,0.001
80,24.373796715116825,24.02313671950196,0.001
81,24.862438956876474,23.67186858526655,0.001
82,24.33877619270291,24.013995720635823,0.001
83,24.46610815050617,23.66071544176975,0.001
84,24.37054336580651,24.010349525871842,0.001
85,24.73072320704944,23.655475488735608,0.001
86,23.80977245092092,24.01168564430266,0.001
87,24.438101308145878,23.654459213896093,0.001
88,23.664178119570128,24.01756637673909,0.001
89,24.090518569728353,23.657871090503132,0.001
90,24.241559274644775,24.02717249236297,0.001
91,23.520701883710494,23.666625395853625,0.001
92,23.908996916323353,24.03678990447779,0.001
93,24.106087708432153,23.67755309527638,0.001
94,24.11601344574958,24.040558305233397,0.001
95,24.160674888101738,23.68349570186084,0.001
96,23.88741947367369,24.03400113083146,0.001
97,23.836236491548277,23.677414012319577,0.001
98,24.35529678194791,24.017074283839715,0.001
99,23.888207517555866,23.657113392696385,0.001
100,24.11662860158964,23.995235537318603,0.001
101,23.90756198873554,23.62983425130948,0.001
    